[2021-11-21T14:45:30.234] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-21T14:45:30.236] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-21T14:45:30.236] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-21T14:45:30.236] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-21T14:45:30.236] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-21T14:45:30.237] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-21T14:45:30.237] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-21T14:45:30.237] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-21T14:45:30.237] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-21T14:45:30.237] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-21T14:45:30.237] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-21T14:45:30.237] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-21T14:48:43.623] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-21T14:48:43.625] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-21T14:48:43.625] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-21T14:48:43.625] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-21T14:48:43.625] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-21T14:48:43.626] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-21T14:48:43.626] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-21T14:48:43.626] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-21T14:48:43.626] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-21T14:48:43.626] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-21T14:48:43.626] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-21T14:48:43.626] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-21T14:49:13.071] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-21T14:49:13.071] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.removeEventListeners]type:\"Pause\""]
[2021-11-21T14:49:13.071] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.removeEventListeners]type:\"Pause\""]
[2021-11-21T14:49:13.071] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-21T14:49:13.071] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.removeEventListener]type:\"Pause\",key:undefined"]
[2021-11-21T14:49:13.071] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.removeEventListener]type:\"Pause\",key:undefined"]
[2021-11-22T13:54:56.881] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T13:54:56.882] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T13:54:56.882] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T13:54:56.882] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T13:54:56.882] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T13:54:56.882] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T13:54:56.883] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T13:54:56.883] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T13:54:56.883] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T13:54:56.883] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T13:54:56.883] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
